Start Time,End Time,door_A,sens3_A,sens4_A,sens2_A,sens1_A,door_B,sens4_B,sens3_B,sens2_B,sens1_B,door_C,sens4_C,sens2_C,sens3_C,sense1_C,door_D,sens1_D,sens3_D,sens2_D,sens4_D,Label
2022-09-06 08:30:43.098464100,2022-09-06 08:30:43.098464100,,,,,,,,,,,,,1,,,,,,,,C
2022-09-06 08:31:13.098464100,2022-09-06 08:31:13.098464100,,,,,,,,,,,,,1,,,,,,,,C
2022-09-06 08:31:43.098464100,2022-09-06 08:31:43.098464100,,,,,,,,,,,,,1,,,,,,,,C
2022-09-06 08:32:13.098464100,2022-09-06 08:32:27.826386158,,,,,,,,,,,1,1,1,,,,,,,1,C
2022-09-06 08:32:30.447706501,2022-09-06 08:32:30.447706501,,,,,,,,,,,,,,,,,,1,,,D
2022-09-06 08:35:20.276133625,2022-09-06 08:35:24.897453968,,,,,,,,,,,,,,,,,1,1,,,D
2022-09-06 08:35:54.897453968,2022-09-06 08:35:54.897453968,,,,,,,,,,,,,,,,,1,,,,D
2022-09-06 08:36:24.897453968,2022-09-06 08:36:24.897453968,,,,,,,,,,,,,,,,,1,,,,D
2022-09-06 08:36:54.897453968,2022-09-06 08:36:54.897453968,,,,,,,,,,,,,,,,,1,,,,D
2022-09-06 08:37:14.175628559,2022-09-06 08:37:14.175628559,,,,,,,,,,,,,,,,,,,1,,D
2022-09-06 08:37:44.175628559,2022-09-06 08:37:44.175628559,,,,,,,,,,,,,,,,,,,1,,D
2022-09-06 08:38:14.175628559,2022-09-06 08:38:14.175628559,,,,,,,,,,,,,,,,,,,1,,D
2022-09-06 08:38:44.175628559,2022-09-06 08:38:44.175628559,,,,,,,,,,,,,,,,,,,1,,D
2022-09-06 08:39:14.175628559,2022-09-06 08:39:14.175628559,,,,,,,,,,,,,,,,,,,1,,D
2022-09-06 08:39:44.175628559,2022-09-06 08:39:44.175628559,,,,,,,,,,,,,,,,,,,1,,D
2022-09-07 08:08:40.826572343,2022-09-07 08:08:46.069213029,1,1,,,,,,,,,,,,,,,,,,,A
2022-09-07 08:09:16.069213029,2022-09-07 08:09:16.069213029,,1,,,,,,,,,,,,,,,,,,,A
2022-09-07 08:09:46.069213029,2022-09-07 08:09:46.069213029,,1,,,,,,,,,,,,,,,,,,,A
2022-09-07 08:10:16.069213029,2022-09-07 08:10:16.069213029,,1,,,,,,,,,,,,,,,,,,,A
2022-09-07 08:10:46.069213029,2022-09-07 08:10:47.104746934,,1,1,,,,,,,,,,,,,,,,,,A
2022-09-07 08:11:17.104746934,2022-09-07 08:11:17.104746934,,,1,,,,,,,,,,,,,,,,,,A
2022-09-07 08:11:47.104746934,2022-09-07 08:11:47.104746934,,,1,,,,,,,,,,,,,,,,,,A
2022-09-07 08:12:17.104746934,2022-09-07 08:12:17.104746934,,,1,,,,,,,,,,,,,,,,,,A
